img,name,processor,cores,ram,storage,graphics_card,screen_size,os,warranty,rating,score,price,threads,disk_type,screen_size,screen_pixels,has_touchScreen
https://cdn1.smartprix.com/rx-iH0EKqLhw-w280-h280/huawei-matebook-fold.webp,Huawei MateBook Fold Laptop,Kirin X90,10 Cores,32 GB RAM,2 TB  ,,"18 inches, 3296 x 2472 pixels, Touch Screen",HarmonyOS 5,1 Year Warranty,4.05,61,319930,,SSD,18 inches, 3296 x 2472 pixels,1
https://cdn1.smartprix.com/rx-iRe7ozJWD-w280-h280/lenovo-v15-g4-82c700.webp,Lenovo V15 G4 ‎82C70081GE Laptop,7th Gen AMD Ryzen 5 7520U,Quad Core,16 GB DDR5 RAM,512 GB  ,Integrated AMD Radeon 610M Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.35,61,33890, 8 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-ivl17P4n6-w280-h280/dell-g15-5530-gaming.webp,Dell G15-5530 Gaming Laptop,13th Gen Intel Core i5 13450HX,10 Cores (6P + 4E),16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.6,68,66800, 16 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-ioXEIfxVI-w280-h280/acer-one-14-z8-415-l.webp,Acer One 14 Z8-415 Laptop,11th Gen Intel Core i3 1115G4,Dual Core,8 GB DDR4 RAM,512 GB  ,‎Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.05,54,22990, 4 Threads,SSD,14 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-ifsyyr3XR-w280-h280/hp-victus-15-fb3012a.webp,HP Victus 15-fb3012AX Gaming Laptop,8th Gen AMD Ryzen 5 8645HS,Hexa Core,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.1,72,66240, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iAwh1cD03-w280-h280/hp-245-g10-laptop-am.webp,HP 245 G10 Laptop,7th Gen AMD Ryzen 5 7520U,Quad Core,8 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty,4.45,55,29690, 8 Threads,SSD,14 inches, 1366 x 768 pixels,0
https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp,Apple MacBook Air 2025 Laptop,Apple M4,10 Cores (4P + 6E),16 GB RAM,256 GB  ,Apple 8 Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty,4.75,45,91900,,SSD,13.6 inches, 2560 x 1664 pixels,0
https://cdn1.smartprix.com/rx-i0iMdi6rS-w280-h280/lenovo-thinkbook-16.webp,Lenovo ThinkBook 16 21MWA0BSIN Laptop,7th Gen AMD Ryzen 5 7535HS,Hexa Core,16 GB DDR5 RAM,512 GB  ,AMD Radeon Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty,4.75,65,49000, 12 Threads,SSD,16 inches, 1920 x 1200 pixels,0
https://cdn1.smartprix.com/rx-igmHFinXw-w280-h280/asus-expertbook-p1-1.webp,Asus Expertbook P1 14 P1403CVA-S60938WS Laptop,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),16 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.75,60,34990, 8 Threads,SSD,14 inches, 1920 x 1080 pixels,0
https://cdn1.smartprix.com/rx-iMrQ6IzGa-w280-h280/hp-15-fr0028tu-lapto.webp,HP 15-fr0028TU Laptop,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),16 GB DDR4 RAM,512 GB  ,Intel Integrated Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty,4.0,53,59990, 12 Threads,SSD,15.6 inches, 1920 x 1080 pixels,0
